[2025-08-21 13:00:00] ✅ Row 353: Deposit accepted — 12.14 at 2018-02-04 10:00:52 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 354: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=20.7 dt='2018-02-15 06:02:29'
[2025-08-21 13:00:00] ✅ Row 354: Deposit accepted — 20.7 at 2018-02-15 06:02:29 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 355: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=42.12 dt='2018-03-08 11:04:22'
[2025-08-21 13:00:00] ✅ Row 355: Deposit accepted — 42.12 at 2018-03-08 11:04:22 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 356: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=11.34 dt='2018-09-15 07:40:16'
[2025-08-21 13:00:00] ✅ Row 356: Deposit accepted — 11.34 at 2018-09-15 07:40:16 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 357: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=33.32 dt='2018-10-29 14:42:53'
[2025-08-21 13:00:00] ✅ Row 357: Deposit accepted — 33.32 at 2018-10-29 14:42:53 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 358: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=27.71 dt='2018-12-22 12:17:16'
[2025-08-21 13:00:00] ✅ Row 358: Deposit accepted — 27.71 at 2018-12-22 12:17:16 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 359: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=22.16 dt='2019-01-18 11:18:10'
[2025-08-21 13:00:00] ✅ Row 359: Deposit accepted — 22.16 at 2019-01-18 11:18:10 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 360: type='deposit' dep=True wdr=False status_orig='Approved' canon='approved' amount=27.7 dt='2019-01-20 10:19:31'
[2025-08-21 13:00:00] ✅ Row 360: Deposit accepted — 27.7 at 2019-01-20 10:19:31 (status='Approved')
[2025-08-21 13:00:00] ℹ️ Row 361: type='redeem' dep=False wdr=True status_orig='Cancelled' canon='rejected' amount=60.0 dt='2019-01-21 05:10:34'
